day,event,bird_id,host_species,mite_species,day0_mites
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,1,PROW2,PROW,Amerodectes protonotaria,258
6,0,PROW2,PROW,Amerodectes protonotaria,258
6,0,PROW2,PROW,Amerodectes protonotaria,258
6,0,PROW2,PROW,Amerodectes protonotaria,258
6,0,PROW2,PROW,Amerodectes protonotaria,258
6,0,PROW2,PROW,Amerodectes protonotaria,258
6,0,PROW2,PROW,Amerodectes protonotaria,258
6,0,PROW2,PROW,Amerodectes protonotaria,258
6,0,PROW2,PROW,Amerodectes protonotaria,258
6,0,PROW2,PROW,Amerodectes protonotaria,258
6,0,PROW2,PROW,Amerodectes protonotaria,258
6,0,PROW2,PROW,Amerodectes protonotaria,258
6,0,PROW2,PROW,Amerodectes protonotaria,258
6,0,PROW2,PROW,Amerodectes protonotaria,258
6,0,PROW2,PROW,Amerodectes protonotaria,258
6,0,PROW2,PROW,Amerodectes protonotaria,258
2,0,AMRE2,AMRE,Amerodectes ischyros,34
2,0,AMRE2,AMRE,Amerodectes ischyros,34
3,1,AMRE2,AMRE,Amerodectes ischyros,34
4,1,AMRE2,AMRE,Amerodectes ischyros,34
4,1,AMRE2,AMRE,Amerodectes ischyros,34
5,1,AMRE2,AMRE,Amerodectes ischyros,34
5,1,AMRE2,AMRE,Amerodectes ischyros,34
6,1,AMRE2,AMRE,Amerodectes ischyros,34
6,1,AMRE2,AMRE,Amerodectes ischyros,34
6,1,AMRE2,AMRE,Amerodectes ischyros,34
6,1,AMRE2,AMRE,Amerodectes ischyros,34
7,1,AMRE2,AMRE,Amerodectes ischyros,34
7,1,AMRE2,AMRE,Amerodectes ischyros,34
8,1,AMRE2,AMRE,Amerodectes ischyros,34
